0
" Indian Institute of Management - [IIMB], Bangalore "
" Indian Institute of Management - [IIMA], Ahmedabad "
" Lovely Professional University - [LPU], Jalandhar "
" Indian Institute of Management - [IIMC], Kolkata "
" Parul University, Vadodara "
" Management Development Institute - [MDI], Gurgaon "
" Universal Business School - [UBS], Karjat "
" Indian Institute of Management - [IIM], Lucknow "
" NIMS University, Jaipur "
" Indian Institute of Management - [IIM], Indore "
" Chandigarh University - [CU], Chandigarh "
" Vinod Gupta School of Management - [VGSoM], Kharagpur "
" Amity Global Business School - [AGBS], Noida "
" Xavier Labour Relations Institute - [XLRI], Jamshedpur "
" Lexicon MILE - Management Institute of Leadership and Excellence, Pune "
" Indian Institute of Management - [IIMK], Kozhikode "
" SRM Institute of Science  and Technology Ramapuram Campus, Chennai "
" Department of Management Studies IIT Delhi - [DMS IITD], New Delhi "
" Indian Institute of Public Health - [IIPH], Gandhi Nagar "
" Shailesh J. Mehta School of Management, IIT Bombay - [SJMSOM], Mumbai "
" CMS Business School, Jain University, Bangalore "
" Department of Management Studies, Indian Institute of Technology - [DMSIIT], Roorkee "
" Indian School of Business - [ISB], Hyderabad "
" Indian Institute of Management - [IIMU], Udaipur "
" Indian Institute of Management - [IIM], Tiruchirappalli "
" Department of Management Studies, IIT Madras - [DoMS IIT Madras], Chennai "
" SP Jain Institute of Management and Research - [SPJIMR], Mumbai "
" NIT Trichy, Tiruchirappalli "
" Great Lakes Institute of Management, Chennai "
" Indian Institute of Management - [IIM], Raipur "
" Jamnalal Bajaj Institute of Management Studies -[JBIMS], Mumbai "
" Symbiosis Institute of Business Management - [SIBM], Pune "
" Madras Christian College - [MCC], Chennai "
" Narsee Monjee Institute of Management Studies - [NMIMS Deemed to be University], Mumbai "
" Industrial and Management Engineering, IIT Kanpur- [IME IIT], Kanpur "
" Symbiosis Centre for Management and Human Resource Development - [SCMHRD], Pune "
" Indian Institute of Management - [IIM], Rohtak "
" Indian Institute of Management - [IIM], Shillong "
" ICFAI Foundation for Higher Education - [IFHE], Hyderabad "
" Indian Institute of Management - [IIM], Kashipur "
" IBMR International Business School - [IBMR-IBS], Bangalore "
" International Management Institute - [IMI], New Delhi "
" Indian Institute of Management - [IIMR], Ranchi "
" National Institute of Industrial Engineering - [NITIE], Mumbai "
" KIIT School of Management - [KSOM], Bhubaneswar "
" Prin. L. N. Welingkar Institute of Management Development & Research - [WeSchool], Mumbai "
" Indian Institute of Foreign Trade - [IIFT], New Delhi "
" Department of Management Studies, Indian Institute of Technology (Indian School of Mines), Dhanbad "
" T. A. Pai Management Institute - [TAPMI], Manipal "
" Jamia Millia Islamia University-[JMI], New Delhi "
" Department of Commerce, University of Delhi, New Delhi "
" University of Delhi, Faculty of Management Studies - [FMS], New Delhi "
" ICFAI Business School - [IBS], Hyderabad "
" Loyola Institute of Business Administration - [LIBA], Chennai "
" P.S.G College of Technology - [PSGCT], Coimbatore "
" FORE School of Management - [FSM], New Delhi "
" Institute of Management Studies, Banaras Hindu University, Varanasi "
" Institute of Management, Nirma university, Ahmedabad "
" Alliance School of Business - [ASOB], Bangalore "
" Institute of Management Technology - [IMT], Ghaziabad "
" Department of Management Studies, Anna University - [DOMS], Chennai "
" International Management Institute- [IMI], Kolkata "
" Xavier University - [XUB], Bhubaneswar "
" Vellore Institute of Technology - [VIT University], Vellore "
" Narsee Monjee Institute of Management Studies - [NMIMS], Hyderabad "
" IFMR Graduate School of Business - [IFMR GSB], Sri City "
" Amity University, Noida "
" University Business School, Panjab University - [UBS], Chandigarh "
" Goa Institute of Management - [GIM], North Goa "
" Institute of Rural Management - [IRMA], Anand "
" Bharathidasan Institute of Management - [BIM], Tiruchirappalli "
" Bharati Vidyapeeth University, Institute of Management and Entrepreneurship Development - [IMED], Pune "
" KJ Somaiya Institute of Management - [SIMSR], Mumbai "
" University of Petroleum and Energy Studies - [UPES], Dehradun "
" Birla Institute of Management Technology - [BIMTECH], Greater Noida "
" Aligarh Muslim University - [AMU], Aligarh "
" K L University Business School - [KLUBS] , Guntur "
" Birla Institute of Technology - [BIT Mesra], Ranchi "
" Indian Institute of Forest Management - [IIFM], Bhopal "
" Jaipuria Institute of Management, Noida "
" University School of Management Studies, Guru Gobind Singh Indraprastha University - [USMS IPU], New Delhi "
" University School of Business, Chandigarh University - [USB], Chandigarh "
" Faculty of Management Sciences and Liberal Arts, Shoolini University, Solan "
" Cochin University of Science and Technology - [CUSAT], Kochi "
" International Management Institute - [IMI], Bhubaneswar "
" Institute of Management Technology - [IMT], Hyderabad "
" Jaipuria Institute of Management, Lucknow "
" Jagan Institute of Management Studies - [JIMS], New Delhi "
" Woxsen School of Business - [WSB], Hyderabad "
" Institute of Management Technology - [IMT], Nagpur "
" Jaipuria Institute of Management, Jaipur "
" IFIM Business School, Bangalore "
" IIHMR University - [IIHMR], Jaipur "
" Amrita Vishwa Vidyapeetham, Coimbatore "
" Amity Business School - [ABS], Noida "
" Lal Bahadur Shastri Institute of Management - [LBSIM], New Delhi "
" Rajagiri Centre for Business Studies - [RCBS], Kochi "
" Chitkara University, Chitkara Business School - [CBS], Patiala "
" School of Management, SRM IST, Kanchipuram "
" Birla Institute of Technology and Science - [BITS], Pilani "
" National Institute of Agricultural Extension Management - [MANAGE], Hyderabad "
" Asia Pacific Institute of Management - [AIM], New Delhi "
" Balaji Institute of Modern Management - [BIMM], Pune "
" Sydenham Institute of Management Studies, Research & Entrepreneurship Education - [SIMSREE], Mumbai "
" Symbiosis Institute of International Business - [SIIB], Pune "
" Christ University, Bangalore "
" Malaviya National Institute of Technology - [MNIT], Jaipur "
" PSG Institute of Management - [PSGIM], Coimbatore "
" Institute of Public Enterprise - [IPE], Hyderabad "
" Prin. L.N. Welingkar Institute of Management Development and Research- [WeSchool], Bangalore "
" SIES College of Management Studies - [SIESCOMS], Mumbai "
" IILM Institute for Business & Management [IILM-IBM], Gurgaon "
" Birla Institute of Technology and Science - [BITS], Hyderabad "
" Indian Institute of Social Welfare and Business Management - [IISWBM], Kolkata "
" Indus Business Academy - [IBA], Bangalore "
" ITM Business School Kharghar - [ITM], Navi Mumbai "
" SDM Institute for Management Development - [SDMIMD], Mysore "
" Symbiosis Institute of Operations Management - [SIOM], Nashik "
" Xavier Institute of Management and Entrepreneurship - [XIME], Bangalore "
" AIMS Institutes, Bangalore "
" Gitam Institute of Management - [GIM], Visakhapatnam "
" Symbiosis Institute of Digital and Telecom Management - [SIDTM], Pune "
" SCMS Cochin School of Business, Cochin "
" GITAM School of International Business - [GSIB], Visakhapatnam "
" IILM Institute for Higher Education, New Delhi "
" Symbiosis Institute of Business Management - [SIBM], Hyderabad "
" MNNIT Allahabad - Motilal Nehru National Institute of Technology - [MNNIT], Allahabad "
" Prestige Institute of Management and Research - [PIMR], Indore "
" Institute of Management Studies - [IMS], Ghaziabad "
" Pune Institute of Business Management - [PIBM], Pune "
" Symbiosis Institute of Business Management - [SIBM], Bangalore "
" Vaikunth Mehta National Institute of Co-Operative Management - [VAMNICOM], Pune "
" National Institute of Technology - [NITC], Calicut "
" Fortune Institute of International Business - [FIIB], New Delhi "
" International School of Business and Media - [ISB&M] Nande, Pune "
" O.P. Jindal Global University, Jindal Global Business School - [JGBS], Sonepat "
" N. L. Dalmia Institute of Management Studies and Research - [NLDIMSR], Mumbai "
" PCTE Group of Institutes, Ludhiana "
" Pondicherry University - [PU], Pondicherry "
" Kristu Jayanti College - [KJC], Bangalore "
" Apeejay School of Management - [ASM], New Delhi "
" Balaji Institute of Management and Human Resource Development - [BIMHRD], Pune "
" GL Bajaj Institute of Management and Research - [GLBIMR], Greater Noida "
" Xavier Institute of Social Service - [XISS], Ranchi "
" Manipal Academy of Higher Education - [MAHE], Manipal "
" Institute of Technology and Science - [I.T.S], Ghaziabad "
" IIEBM Indus Business School - [IIEBM IBS], Pune "
" Institute of Rural Management - [FMS-IRM], Jaipur "
" Faculty of Management Studies, Manav Rachna International Institute of Research and Studies, Faridabad "
" Xavier Institute of Management and Entrepreneurship - [XIME], Kochi "
" IMS Unison University - [IUU], Dehradun "
" Hindustan Institute of Technology and Science - [HITS], Chennai "
" JK Business School - [JKBS], Gurgaon "
" Jagannath International Management School - [JIMS] Kalkaji, New Delhi "
" DY Patil University's School of Management - [DYPUSM], Navi Mumbai "
" Tezpur University - [TU], Tezpur "
" Rungta Group of Institutions Bhillai Campus, Bhilai "
" Bannari Amman Institute of Technology - [BIT], Sathyamangalam "
" International School of Informatics and Management - [IIIM], Jaipur "
" Regional College of Management - [RCM], Bhubaneswar "
" Symbiosis Centre for Information Technology - [SCIT], Pune "
" Neville Wadia Institute of Management Studies and Research - [NWIMSR], Pune "
" Jaipuria School of Business - [JSB], Ghaziabad "
" Poornima University - [PU], Jaipur "
" Mepco Schlenk Engineering College, Sivakasi "
" Ajay Kumar Garg Institute of Management - [AKGIM], Ghaziabad "
" Bharati Vidyapeeth Institute of Management Studies & Research - [BVIMSR], Navi Mumbai "
" Prestige Institute of Management - [PIMG], Gwalior "
" Saintgits Institute of Management - [SIM], Kottayam "
" Shri Ram Murti Smarak International Business School - [SRMS IBS], Lucknow "
" Sanskriti University - [SU], Mathura "
" Ramaiah Institute of Technology - [RIT], Bangalore "
" Kongu Engineering College - [KEC], Erode "
" Balaji Institute of Telecom and Management - [BITM], Pune "
" Institute of Management Studies - [IMS], Noida "
" MIT College of Management - [MITCOM] Kothrud, Pune "
" International Institute of Management Studies - [IIMS], Pune "
" Sairam Institute of Management Studies - [SIMS], Chennai "
" JK Lakshmipat University - [JKLU], Jaipur "
" Calcutta Business School - [CBS], Kolkata "
" Bharath University - Bharath Institute of Higher Education and Research - [BIHER], Chennai "
" Vel Tech Dr. RR & Dr. SR University - [VelTech University], Chennai "
" REVA University, Bangalore "
" Aurora's Business School Panjagutta, Hyderabad "
" Balaji Institute of International Business - [BIIB], Pune "
" Jaipuria Institute of Management, Ghaziabad "
" Kirloskar Institute of Advanced Management Studies - [KIAMS], Harihar "
" RV Institute of Management - [RVIM], Bangalore "
" Mangalayatan University, Institute of Business Management, Aligarh "
" IIKM Business School, Chennai "
" IES Management College and Research Centre - [IES MCRC], Mumbai "
" Institute of Management and Information Science - [IMIS], Bhubaneswar "
" Jaipuria Institute of Management, Indore "
" Kirloskar Institute of Advanced Management Studies - [KIAMS], Pune "
" PSNA College of Engineering and Technology, Dindigul "
" Mody University, Sikar "
" Dhruva College of Management - [DCM], Hyderabad "
" ICBM School of Business Excellence - [ICBM-SBE], Hyderabad "
" International School of Business and Research - [ISBR Business School], Bangalore "
" Eastern Institute for Integrated Learning In Management - [EIILM], Kolkata "
" Vivekananda Institute of Management Studies - [VIMS], Coimbatore "
" Nehru College of Engineering and Research Centre - [NCERC], Thrissur "
" ITM Vocational University - [ITMVU], Vadodara "
" St Aloysius Institute of Management and Information Technology - [AIMIT], Mangalore "
" Doon Business School - [DBS], Dehradun "
" GRG School of Management Studies - [GRGSMS], Coimbatore "
" Accurate Institute of Management and Technology - [AIMT], Greater Noida "
" KLS Gogte Institute of Technology - [KLS GIT], Belgaum "
" DJ Academy for Managerial Excellence - [DJAME], Coimbatore "
" Sona School of Management, Salem "
" Symbiosis Institute of Computer Studies and Research - [SICSR], Pune "
" Agriculture and Food Management Institute - [AFMI], Mysore "
" Roorkee Institute of Technology - [RIT], Roorkee "
" Dayananda Sagar College of Mangaement and Information Technology - [DSCMIT], Bangalore "
" SRM Institute of Technology - [SRM IST], Kanchipuram "
" Chandigarh Business School of Administration - [CBSA], landran "
" ICFAI Business School - [IBS], Kolkata "
" Prestige Institute of Management - [PIM], Dewas "
" SCMS School of Technology and Management - [SSTM], Cochin "
" Sardar Vallabhbhai Patel International School of Textile & Management- [SVPISTM], Coimbatore "
" Atharva Institute of Management Studies - [AIMS], Mumbai "
" ICFAI Business School - [IBS], Dehradun "
" Coimbatore Institute of Management and Technology - [CIMAT], Coimbatore "
" Karunya School of Management, Karunya University - [KSM], Coimbatore "
" Alkesh Dinesh Mody Institute for Financial and Management Studies, Mumbai "
" Shobhit University, School of Business Studies, Meerut "
" Teerthanker Mahaveer Institute of Management and Technology - [TMIMT], Moradabad "
" Institute of Agri Business Management - [IABM], Bikaner "
" ITM Business School, Chennai "
" Sasmira's Institute of Management Studies and Research - [SIMSR], Mumbai "
" DC School of Management and Technology - [DCSMAT] Vegamon, Idukki "
" IBMR Business School, Gurgaon "
" SNS College of Technology - [SNSCT], Coimbatore "
" Sanjivani College of Engineering Kopargaon, Ahmed Nagar "
" Institute of Engineering and Management - [IEM], Kolkata "
" Sandip Institute of Technology and Research Center - [SITRC], Nashik "
" Adarsh Institute of Management and Information Technology - [AIMIT], Bangalore "
" Lloyd Business School, Greater Noida "
" Shri Sant Gajanan Maharaj College of Engineering - [SSGMCE], Shevgaon "
" Vel Tech High Tech Dr.Rangarajan Dr.Sakunthala Engineering College, Chennai "
" Jagannath University, Jaipur "
" Durgadevi Saraf Institute of Management Studies - [DSIMS], Mumbai "
" Galgotias University School of Business - [GBS], Greater Noida "
